recorded_at	capability	disposition	selected_dependency	version	exact_features	accepted_limitations
2026-08-11	async-stream-network-runtime	approved-provisional	tokio;tokio-util	1.53.1;0.7.19	tokio:default-features=false+[io-util,macros,net,rt,sync,time];tokio-util:default-features=false+[]	documented hostname,cancellation,bounds,and no-orphan deviations; exact stack scope extended 2026-08-12 to internal/machine/store for bounded Send-safe notification handoff under delegated routine authority
2026-08-11	synchronous-outbound-http-client	approved-provisional	base64;bytes;flate2;h2;http;http-body-util;hyper;hyper-rustls;hyper-util;ipnet;tokio	0.22.1;1.12.1;1.1.9;0.4.15;1.5.0;0.1.4;1.11.0;0.27.9;0.1.20;2.12.1;1.53.1	base64:default-features=false+[std];bytes:default;flate2:default-features=false+[rust_backend];h2:default;http:default;http-body-util:default;hyper:default+[client,http1,http2];hyper-rustls:default-features=false+[http1,http2,ring,rustls-platform-verifier,tls12];hyper-util:default+[client,client-legacy,client-pool,client-proxy,http1,http2,tokio];ipnet:default;tokio:default+[rt-multi-thread,net,sync,time]	documented Go default-client policy,timeout,proxy,gzip,and platform deviations
2026-08-11	http-server-runtime	approved-provisional	hyper;hyper-util;http-body-util;tokio;tokio-util;flate2	1.11.0;0.1.20;0.1.4;1.53.1;0.7.19;1.1.9	hyper:default-features=false+[http1,server];hyper-util:default-features=false+[tokio];http-body-util:default-features=false+[];tokio:default-features=false+[io-util,macros,net,rt,sync,time];tokio-util:default-features=false+[];flate2:default-features=false+[rust_backend]	documented pipelining,deadline,request-limit,and listener-close deviations
2026-08-11	protobuf-codegen-runtime	approved-provisional	prost;prost-types;prost-build;tonic-prost;tonic-prost-build	0.14.4;0.14.4;0.14.4;0.14.6;0.14.6	prost:default-features=false+[derive,std];prost-types:default-features=false+[std];prost-build:default-features=false+[format];tonic-prost:default;tonic-prost-build:default-features=false+[transport]	documented unknown-field retention deviation
2026-08-11	docker-engine-client	approved-provisional	bollard	0.21.0	default-features=false+[pipe,ssl]	documented transport,timeout,version,cancellation,and platform deviations
2026-08-11	docker-registry-credential-resolution	approved-provisional	docker_credential	1.4.0	default-features=true+[]	documented Docker CLI normalization,helper,error,and encoding deviations
2026-08-11	http2-tls-client	approved-provisional	bytes;fastrand;h2;http-body-util;hyper;hyper-util;tokio	1.12.1;2.5.0;0.4.15;0.1.4;1.11.0;0.1.20;1.53.1	bytes:default;fastrand:default-features=false+[std];h2:default;http-body-util:default;hyper:default-features=false+[client,http2];hyper-util:default-features=false+[client-legacy,http2,tokio];tokio:default-features=false+[io-util,net,rt,sync,time]	documented GOAWAY identity,retry,redirect,limit,and timing deviations
2026-08-11	streaming-gzip-content-decoding	approved-provisional	async-compression;tokio-util;futures-util	0.4.43;0.7.19;0.3.34	async-compression:default-features=false+[tokio,gzip];tokio-util:default-features=false+[io];futures-util:default-features=false+[std]	documented FHCRC,512-byte optional-header bound,empty-body,decoder staging,and transport-error precedence deviations
2026-08-11	randomized-exponential-backoff	approved-provisional	backon;fastrand	1.6.0;2.5.0	backon:default-features=false+[std,tokio-sleep];fastrand:default-features=false+[std]	documented scheduler formula implemented by a narrow custom BackoffBuilder policy
2026-08-11	userspace-wireguard-tunnel	approved-provisional	boringtun;smoltcp	0.7.1;0.13.1	boringtun:default-features=false+[];smoltcp:default-features=false+[std,medium-ip,proto-ipv4,proto-ipv6,proto-dns,socket-tcp,socket-udp,socket-icmp,socket-dns,async]	documented lifecycle,interoperation,DNS,protocol,and platform deviations
